,account_id,match_id,start_time,win
0,205239629,3655990173,1514887211,0
1,139822354,3655990173,1514887211,0
2,376376587,3655990173,1514887211,0
3,133973515,3655990173,1514887211,0
4,242665587,3655990173,1514887211,0
5,131766964,3655990173,1514887211,1
6,142974425,3655990173,1514887211,1
7,135656964,3655990173,1514887211,1
8,254710104,3655990173,1514887211,1
9,372595310,3655990173,1514887211,1
10,137129583,3655991306,1514887259,1
11,134683396,3655991306,1514887259,1
12,159235251,3655991306,1514887259,1
13,275501116,3655991306,1514887259,1
14,102020930,3655991306,1514887259,1
15,103275898,3655991306,1514887259,0
16,117199412,3655991306,1514887259,0
17,133705802,3655991306,1514887259,0
18,120569619,3655991306,1514887259,0
19,216067541,3655991306,1514887259,0
20,137129583,3656050304,1514889504,0
21,134683396,3656050304,1514889504,0
22,159235251,3656050304,1514889504,0
23,275501116,3656050304,1514889504,0
24,102020930,3656050304,1514889504,0
25,103275898,3656050304,1514889504,1
26,133705802,3656050304,1514889504,1
27,216067541,3656050304,1514889504,1
28,120569619,3656050304,1514889504,1
29,117199412,3656050304,1514889504,1
30,205239629,3656093068,1514891069,1
31,376376587,3656093068,1514891069,1
32,139822354,3656093068,1514891069,1
33,133973515,3656093068,1514891069,1
34,242665587,3656093068,1514891069,1
35,131766964,3656093068,1514891069,0
36,142974425,3656093068,1514891069,0
37,135656964,3656093068,1514891069,0
38,254710104,3656093068,1514891069,0
39,372595310,3656093068,1514891069,0
40,159235251,3656130160,1514892371,0
41,134683396,3656130160,1514892371,0
42,137129583,3656130160,1514892371,0
43,275501116,3656130160,1514892371,0
44,102020930,3656130160,1514892371,0
45,103275898,3656130160,1514892371,1
46,133705802,3656130160,1514892371,1
47,216067541,3656130160,1514892371,1
48,120569619,3656130160,1514892371,1
49,117199412,3656130160,1514892371,1
50,205239629,3656158506,1514893349,0
51,376376587,3656158506,1514893349,0
52,139822354,3656158506,1514893349,0
53,133973515,3656158506,1514893349,0
54,242665587,3656158506,1514893349,0
55,131766964,3656158506,1514893349,1
56,142974425,3656158506,1514893349,1
57,135656964,3656158506,1514893349,1
58,254710104,3656158506,1514893349,1
59,372595310,3656158506,1514893349,1
60,131766964,3656307892,1514898139,1
61,142974425,3656307892,1514898139,1
62,135656964,3656307892,1514898139,1
63,254710104,3656307892,1514898139,1
64,372595310,3656307892,1514898139,1
65,103275898,3656307892,1514898139,0
66,120569619,3656307892,1514898139,0
67,133705802,3656307892,1514898139,0
68,216067541,3656307892,1514898139,0
69,117199412,3656307892,1514898139,0
70,131766964,3656392742,1514900746,1
71,142974425,3656392742,1514900746,1
72,135656964,3656392742,1514900746,1
73,254710104,3656392742,1514900746,1
74,372595310,3656392742,1514900746,1
75,103275898,3656392742,1514900746,0
76,133705802,3656392742,1514900746,0
77,216067541,3656392742,1514900746,0
78,120569619,3656392742,1514900746,0
79,117199412,3656392742,1514900746,0
80,103354522,3657908283,1514973640,1
81,130049546,3657908283,1514973640,1
82,187952007,3657908283,1514973640,1
83,124936122,3657908283,1514973640,1
84,186939694,3657908283,1514973640,1
85,137129583,3657908283,1514973640,0
86,134683396,3657908283,1514973640,0
87,159235251,3657908283,1514973640,0
88,275501116,3657908283,1514973640,0
89,102020930,3657908283,1514973640,0
90,205239629,3657912267,1514973802,0
91,107081378,3657912267,1514973802,0
92,139822354,3657912267,1514973802,0
93,376376587,3657912267,1514973802,0
94,144971992,3657912267,1514973802,0
95,89598554,3657912267,1514973802,1
96,138885864,3657912267,1514973802,1
97,186977347,3657912267,1514973802,1
98,117990312,3657912267,1514973802,1
99,129585121,3657912267,1514973802,1
100,103354522,3657984800,1514976584,0
101,186939694,3657984800,1514976584,0
102,130049546,3657984800,1514976584,0
103,124936122,3657984800,1514976584,0
104,187952007,3657984800,1514976584,0
105,159235251,3657984800,1514976584,1
106,134683396,3657984800,1514976584,1
107,137129583,3657984800,1514976584,1
108,275501116,3657984800,1514976584,1
109,102020930,3657984800,1514976584,1
110,144758202,3657997215,1514977783,0
111,122459461,3657997215,1514977783,0
112,157467368,3657997215,1514977783,0
113,100999528,3657997215,1514977783,0
114,113934949,3657997215,1514977783,0
115,100594231,3657997215,1514977783,1
116,345803031,3657997215,1514977783,1
117,101259972,3657997215,1514977783,1
118,113435203,3657997215,1514977783,1
119,138857296,3657997215,1514977783,1
120,89598554,3658079366,1514979955,1
121,138885864,3658079366,1514979955,1
122,117990312,3658079366,1514979955,1
123,186977347,3658079366,1514979955,1
124,129585121,3658079366,1514979955,1
125,205239629,3658079366,1514979955,0
126,139822354,3658079366,1514979955,0
127,376376587,3658079366,1514979955,0
128,107081378,3658079366,1514979955,0
129,144971992,3658079366,1514979955,0
130,100594231,3658093854,1514980443,1
131,345803031,3658093854,1514980443,1
132,101259972,3658093854,1514980443,1
133,113435203,3658093854,1514980443,1
134,138857296,3658093854,1514980443,1
135,144758202,3658093854,1514980443,0
136,122459461,3658093854,1514980443,0
137,157467368,3658093854,1514980443,0
138,100999528,3658093854,1514980443,0
139,113934949,3658093854,1514980443,0
140,103354522,3658100750,1514980678,1
141,186939694,3658100750,1514980678,1
142,130049546,3658100750,1514980678,1
143,124936122,3658100750,1514980678,1
144,187952007,3658100750,1514980678,1
145,137129583,3658100750,1514980678,0
